,run,epoch,loss,epoch_duration,run duration,learning_rate,num_epoch
0,1,1,0.33926612767021336,168.17805695533752,168.17806434631348,0.001,30
1,1,2,0.2837757318472815,167.71761679649353,335.8957324028015,0.001,30
2,1,3,0.2590251985922574,168.04178261756897,503.9375605583191,0.001,30
3,1,4,0.24485124560398241,167.29131746292114,671.2289254665375,0.001,30
4,1,5,0.2376993024529564,168.13913702964783,839.3681762218475,0.001,30
5,1,6,0.23229788937088516,168.7434401512146,1008.11168384552,0.001,30
6,1,7,0.2279155140979186,168.25408744812012,1176.365822315216,0.001,30
7,1,8,0.224702531397934,168.37377953529358,1344.7396512031555,0.001,30
8,1,9,0.22200343596734226,168.22088050842285,1512.960580587387,0.001,30
9,1,10,0.21967820482446798,168.89365005493164,1681.8542833328247,0.001,30
10,1,11,0.21759457048028708,168.65041399002075,1850.5047452449799,0.001,30
11,1,12,0.21611107457133513,169.1237301826477,2019.6285252571106,0.001,30
12,1,13,0.21432440672513275,168.83220887184143,2188.460784673691,0.001,30
13,1,14,0.21248345501306984,168.81967544555664,2357.280509710312,0.001,30
14,1,15,0.21164032298746327,168.86840200424194,2526.1489596366882,0.001,30
15,1,16,0.21090921697517237,169.1031367778778,2695.252145767212,0.001,30
16,1,17,0.20942116993671608,168.63581252098083,2863.88805603981,0.001,30
17,1,18,0.20774249700711123,167.98505544662476,3031.873194694519,0.001,30
18,1,19,0.20656189021639645,168.01905608177185,3199.892333507538,0.001,30
19,1,20,0.20539445997703643,166.96986198425293,3366.862265586853,0.001,30
20,1,21,0.20469173656717415,166.98492741584778,3533.847282886505,0.001,30
21,1,22,0.20362424598785028,168.9010407924652,3702.748419046402,0.001,30
22,1,23,0.20186879479932407,167.9080605506897,3870.6565778255463,0.001,30
23,1,24,0.20098513789061043,168.04733276367188,4038.703997373581,0.001,30
24,1,25,0.19986101125352204,168.46577048301697,4207.1698253154755,0.001,30
25,1,26,0.1992675917932675,167.9599986076355,4375.129873991013,0.001,30
26,1,27,0.19799892549654322,168.00139379501343,4543.131320953369,0.001,30
27,1,28,0.19664549499395348,167.97239637374878,4711.103763580322,0.001,30
28,1,29,0.19557772545025698,168.604975938797,4879.708788394928,0.001,30
29,1,30,0.19448841007662906,168.50177717208862,5048.210614442825,0.001,30
